Task Name,Category,Action,Priority,Estimated Time (mins),Actual Time (mins),Completion Percentage,Due Date,Time Spent (mins),Status,Quality
Code review,Work,Write technical document,Low,105,65,0.9,2023-03-28 14:00:00,420,Under,Good
Complete coding challenge,Learning,Discuss project progress,Medium,39,40,0.75,2023-03-31 16:00:00,350,Over,Good
Debugging,Learning,Refactor existing code,High,70,61,0.75,2023-04-01 12:00:00,250,Under,Good
Writing technical documentation,Work,Submit a functioning solution,Medium,32,41,0.86,2023-04-05 18:00:00,190,Over,Good
Complete coding challenge,Work,Code collaboratively,Low,222,168,0.93,2023-03-29 17:00:00,170,Under,Good
Writing technical documentation,Learning,Fix errors in code,Low,221,157,0.94,2023-03-31 16:00:00,110,Under,Good
Code refactoring,Work,Learn new programming language,Medium,211,171,0.96,2023-03-30 15:00:00,250,Under,Good
Debugging,Learning,Fix errors in code,Low,72,41,0.84,2023-03-31 16:00:00,220,Under,Good
Attend team meeting,Learning,Review code changes,Low,113,127,0.72,2023-03-30 14:00:00,100,Over,Fair
Debugging,Work,Network with peers,Medium,69,51,0.91,2023-03-30 14:00:00,190,Under,Good
Attend team meeting,Learning,Network with peers,Low,157,101,0.82,2023-03-29 11:00:00,270,Under,Good
Attending training session,Work,Fix errors in code,Low,238,244,0.6,2023-03-29 11:00:00,170,Over,Fair
Writing technical documentation,Work,Network with peers,Medium,148,197,0.86,2023-04-04 11:00:00,100,Over,Good
Code refactoring,Work,Code collaboratively,High,171,170,0.9,2023-03-28 14:00:00,220,Under,Good
Sprint planning,Work,Learn new programming language,Low,164,233,0.96,2023-04-01 12:00:00,420,Over,Good
Sprint planning,Work,Refactor existing code,Medium,103,119,0.88,2023-03-30 15:00:00,80,Over,Good
Attend team meeting,Work,Network with peers,Medium,136,115,0.94,2023-03-28 14:00:00,110,Under,Good
Debugging,Work,Learn new skills,Low,205,104,0.68,2023-03-28 14:00:00,320,Under,Fair
Complete coding challenge,Learning,Plan upcoming sprint,Low,115,168,0.9,2023-03-30 14:00:00,210,Over,Good
Writing technical documentation,Learning,Write technical document,High,109,83,0.9,2023-04-02 10:00:00,270,Under,Good
Code refactoring,Work,Code collaboratively,Low,210,153,0.74,2023-04-05 18:00:00,130,Under,Fair
Code refactoring,Learning,Learn new programming language,High,150,124,0.94,2023-03-29 17:00:00,170,Under,Good
Code review,Learning,Discuss project progress,Medium,91,50,0.62,2023-03-28 10:00:00,100,Under,Fair
Complete coding challenge,Learning,Plan upcoming sprint,Medium,112,78,0.66,2023-04-01 12:00:00,55,Under,Fair
Writing technical documentation,Learning,Refactor existing code,High,179,144,0.65,2023-03-28 10:00:00,55,Under,Fair
Writing technical documentation,Work,Discuss project progress,Low,232,230,0.85,2023-03-29 11:00:00,190,Under,Good
Sprint planning,Work,Discuss project progress,High,194,139,0.68,2023-03-30 14:00:00,190,Under,Fair
Code refactoring,Learning,Learn new programming language,High,47,33,0.67,2023-04-04 11:00:00,270,Under,Fair
Debugging,Work,Write technical document,High,153,157,0.66,2023-03-30 15:00:00,190,Over,Fair
Attend team meeting,Learning,Discuss project progress,High,100,60,0.67,2023-03-30 14:00:00,55,Under,Fair
Sprint planning,Learning,Submit a functioning solution,Medium,76,54,0.95,2023-03-30 15:00:00,220,Under,Good
Debugging,Learning,Review code changes,Low,58,47,0.82,2023-03-31 16:00:00,130,Under,Good
Complete coding challenge,Work,Fix errors in code,Medium,201,229,0.82,2023-04-02 10:00:00,130,Over,Good
Pair programming,Learning,Fix errors in code,Low,159,199,0.84,2023-04-04 11:00:00,350,Over,Good
Writing technical documentation,Work,Plan upcoming sprint,Low,52,61,0.77,2023-03-28 10:00:00,55,Over,Good
Code refactoring,Learning,Write technical document,Medium,73,102,0.95,2023-03-30 14:00:00,190,Over,Good
Debugging,Work,Learn new programming language,High,210,291,0.99,2023-03-30 14:00:00,420,Over,Good
Pair programming,Learning,Learn new skills,Medium,83,72,0.98,2023-03-28 10:00:00,80,Under,Good
Attending conference,Work,Network with peers,High,35,48,0.64,2023-03-30 15:00:00,55,Over,Fair
Attend team meeting,Learning,Learn new skills,High,225,156,0.82,2023-03-29 11:00:00,170,Under,Good
Sprint planning,Work,Submit a functioning solution,Medium,56,82,0.97,2023-04-04 11:00:00,170,Over,Good
Learning new technology,Learning,Review code changes,Medium,99,135,0.94,2023-03-31 16:00:00,190,Over,Good
Pair programming,Work,Write technical document,High,153,141,0.7,2023-03-30 14:00:00,80,Under,Fair
Attending conference,Work,Review code changes,Medium,196,243,0.77,2023-03-28 14:00:00,100,Over,Good
Complete coding challenge,Work,Fix errors in code,Low,87,123,0.78,2023-03-28 14:00:00,220,Over,Good
Complete coding challenge,Learning,Review code changes,Medium,102,80,0.94,2023-03-29 11:00:00,350,Under,Good
Pair programming,Work,Submit a functioning solution,Medium,54,76,0.65,2023-03-28 14:00:00,350,Over,Fair
Complete coding challenge,Learning,Write technical document,Low,97,58,0.76,2023-04-05 18:00:00,110,Under,Good
Code review,Learning,Submit a functioning solution,Low,59,43,0.77,2023-03-28 10:00:00,350,Under,Good
Pair programming,Learning,Refactor existing code,High,237,170,0.69,2023-04-04 11:00:00,350,Under,Fair
Sprint planning,Learning,Plan upcoming sprint,High,111,93,0.76,2023-04-01 12:00:00,100,Under,Good
Writing technical documentation,Learning,Submit a functioning solution,High,112,128,0.61,2023-04-05 18:00:00,110,Over,Fair
Pair programming,Learning,Fix errors in code,Low,207,148,0.99,2023-03-31 16:00:00,420,Under,Good
Pair programming,Learning,Review code changes,Low,68,51,0.86,2023-03-28 14:00:00,80,Under,Good
Pair programming,Learning,Discuss project progress,Low,201,299,0.9,2023-04-05 18:00:00,220,Over,Good
Attending training session,Work,Learn new skills,Medium,203,266,0.93,2023-03-30 15:00:00,250,Over,Good
Complete coding challenge,Learning,Learn new skills,Medium,166,128,0.71,2023-03-30 14:00:00,320,Under,Fair
Code review,Work,Review code changes,Low,65,62,0.84,2023-04-01 12:00:00,210,Under,Good
Code review,Work,Fix errors in code,High,63,94,0.98,2023-03-29 17:00:00,320,Over,Good
Complete coding challenge,Learning,Review code changes,Low,213,304,0.79,2023-03-29 17:00:00,55,Over,Good
Code refactoring,Learning,Code collaboratively,High,136,82,0.77,2023-03-29 11:00:00,270,Under,Good
Attending conference,Learning,Learn new skills,High,190,103,0.86,2023-03-30 15:00:00,350,Under,Good
Complete coding challenge,Learning,Plan upcoming sprint,High,100,118,0.74,2023-04-04 11:00:00,170,Over,Fair
Learning new technology,Learning,Write technical document,High,113,115,0.66,2023-04-05 18:00:00,250,Over,Fair
Sprint planning,Learning,Review code changes,High,169,162,0.92,2023-04-01 12:00:00,110,Under,Good
Code review,Work,Network with peers,Medium,109,80,0.94,2023-03-30 15:00:00,350,Under,Good
Attending conference,Learning,Network with peers,High,101,52,0.85,2023-04-01 12:00:00,110,Under,Good
Debugging,Learning,Code collaboratively,Low,154,224,0.66,2023-03-29 17:00:00,270,Over,Fair
Code review,Work,Network with peers,Medium,162,181,0.73,2023-03-29 17:00:00,130,Over,Fair
Attending training session,Learning,Review code changes,High,192,241,0.98,2023-03-29 17:00:00,320,Over,Good
Pair programming,Work,Plan upcoming sprint,High,69,92,0.67,2023-03-28 10:00:00,110,Over,Fair
Complete coding challenge,Learning,Discuss project progress,High,126,125,0.61,2023-03-28 14:00:00,350,Under,Fair
Debugging,Work,Plan upcoming sprint,Low,40,60,0.8,2023-03-30 15:00:00,350,Over,Good
Debugging,Work,Review code changes,Low,74,101,0.77,2023-03-28 10:00:00,220,Over,Good
Attending conference,Work,Discuss project progress,Medium,83,94,0.89,2023-04-02 10:00:00,250,Over,Good
Debugging,Work,Discuss project progress,Medium,233,287,0.89,2023-03-30 14:00:00,130,Over,Good
Pair programming,Work,Refactor existing code,High,185,231,0.74,2023-03-29 17:00:00,80,Over,Fair
Complete coding challenge,Work,Refactor existing code,Low,36,27,0.8,2023-03-30 14:00:00,220,Under,Good
Attending training session,Work,Learn new skills,Medium,225,296,0.88,2023-03-30 15:00:00,420,Over,Good
Sprint planning,Work,Learn new programming language,Low,220,249,0.73,2023-04-02 10:00:00,190,Over,Fair
Code review,Work,Learn new skills,High,215,248,0.97,2023-03-30 15:00:00,170,Over,Good
Learning new technology,Work,Write technical document,Low,53,79,0.82,2023-03-30 15:00:00,130,Over,Good
Complete coding challenge,Learning,Review code changes,Low,185,248,0.87,2023-04-05 18:00:00,350,Over,Good
Code review,Learning,Network with peers,Low,129,176,0.85,2023-04-05 18:00:00,130,Over,Good
Code review,Work,Learn new programming language,High,106,106,0.92,2023-04-05 18:00:00,190,Accurate,Excellent
Pair programming,Work,Learn new programming language,High,80,61,0.88,2023-03-30 15:00:00,80,Under,Good
Learning new technology,Work,Submit a functioning solution,Low,80,48,0.87,2023-04-02 10:00:00,220,Under,Good
Learning new technology,Learning,Code collaboratively,High,148,193,0.8,2023-04-02 10:00:00,250,Over,Good
Attending conference,Work,Submit a functioning solution,Medium,64,84,0.91,2023-04-01 12:00:00,190,Over,Good
Code review,Work,Plan upcoming sprint,Low,211,110,0.99,2023-03-30 14:00:00,170,Under,Good
Pair programming,Learning,Discuss project progress,High,228,288,0.92,2023-04-05 18:00:00,220,Over,Good
Writing technical documentation,Work,Plan upcoming sprint,High,113,110,0.68,2023-04-01 12:00:00,110,Under,Fair
Code refactoring,Work,Code collaboratively,Medium,76,80,0.7,2023-03-30 14:00:00,250,Over,Fair
Learning new technology,Learning,Learn new programming language,Low,30,27,0.82,2023-03-29 11:00:00,420,Under,Good
Code refactoring,Work,Refactor existing code,Low,208,181,0.87,2023-03-28 14:00:00,210,Under,Good
Learning new technology,Learning,Review code changes,High,100,138,0.88,2023-03-30 14:00:00,420,Over,Good
Code refactoring,Learning,Learn new skills,Low,73,68,0.66,2023-03-30 14:00:00,170,Under,Fair
Pair programming,Learning,Network with peers,High,45,43,0.92,2023-04-02 10:00:00,320,Under,Good
Writing technical documentation,Work,Submit a functioning solution,Medium,96,76,0.72,2023-03-30 14:00:00,190,Under,Fair
Sprint planning,Work,Refactor existing code,Low,59,52,0.95,2023-03-28 10:00:00,130,Under,Good
Debugging,Learning,Submit a functioning solution,High,31,42,0.65,2023-03-28 10:00:00,250,Over,Fair
Code refactoring,Work,Learn new skills,High,240,239,0.98,2023-03-30 14:00:00,220,Under,Good
Debugging,Work,Review code changes,Medium,49,65,0.7,2023-04-04 11:00:00,80,Over,Fair
Sprint planning,Work,Fix errors in code,Medium,230,127,0.92,2023-03-29 17:00:00,100,Under,Good
Sprint planning,Work,Network with peers,Low,52,40,0.64,2023-03-31 16:00:00,350,Under,Fair
Learning new technology,Learning,Learn new programming language,Medium,53,68,0.77,2023-03-29 17:00:00,420,Over,Good
Code review,Work,Write technical document,Medium,146,154,0.95,2023-03-30 15:00:00,190,Over,Good
Complete coding challenge,Learning,Learn new skills,Medium,76,44,0.7,2023-04-05 18:00:00,210,Under,Fair
Attend team meeting,Learning,Learn new programming language,Medium,233,257,0.7,2023-04-04 11:00:00,420,Over,Fair
Pair programming,Work,Learn new programming language,Medium,71,65,0.63,2023-03-29 17:00:00,110,Under,Fair
Writing technical documentation,Work,Discuss project progress,Medium,162,148,0.64,2023-03-30 14:00:00,350,Under,Fair
Debugging,Work,Review code changes,High,178,203,0.69,2023-04-02 10:00:00,55,Over,Fair
Attend team meeting,Learning,Learn new programming language,Medium,77,93,0.87,2023-04-02 10:00:00,55,Over,Good
Pair programming,Learning,Plan upcoming sprint,Low,136,184,0.69,2023-03-29 11:00:00,210,Over,Fair
Pair programming,Work,Discuss project progress,Medium,73,94,0.71,2023-04-04 11:00:00,55,Over,Fair
Complete coding challenge,Learning,Fix errors in code,Medium,207,129,0.67,2023-03-28 14:00:00,110,Under,Fair
Code refactoring,Learning,Code collaboratively,High,50,27,0.76,2023-04-01 12:00:00,250,Under,Good
Sprint planning,Learning,Plan upcoming sprint,Low,233,335,0.64,2023-04-04 11:00:00,250,Over,Fair
Attending conference,Learning,Write technical document,High,136,99,0.73,2023-04-05 18:00:00,55,Under,Fair
Learning new technology,Learning,Learn new skills,High,35,37,0.7,2023-03-28 14:00:00,220,Over,Fair
Attend team meeting,Work,Write technical document,Low,199,169,0.61,2023-03-30 14:00:00,210,Under,Fair
Sprint planning,Learning,Submit a functioning solution,Low,41,60,0.9,2023-03-28 14:00:00,220,Over,Good
Writing technical documentation,Work,Submit a functioning solution,High,200,186,0.61,2023-03-31 16:00:00,130,Under,Fair
Pair programming,Work,Submit a functioning solution,Medium,64,82,0.77,2023-04-02 10:00:00,80,Over,Good
Complete coding challenge,Work,Submit a functioning solution,Low,179,110,0.74,2023-04-05 18:00:00,100,Under,Fair
Learning new technology,Learning,Learn new skills,Low,165,208,0.9,2023-04-05 18:00:00,220,Over,Good
Sprint planning,Learning,Code collaboratively,High,97,134,0.69,2023-03-28 14:00:00,100,Over,Fair
Attending training session,Work,Discuss project progress,Medium,111,80,0.99,2023-04-05 18:00:00,55,Under,Good
Debugging,Learning,Network with peers,Medium,112,86,0.65,2023-03-28 14:00:00,130,Under,Fair
Debugging,Learning,Learn new programming language,High,66,94,0.87,2023-03-29 17:00:00,80,Over,Good
Sprint planning,Work,Fix errors in code,High,96,107,0.79,2023-03-30 15:00:00,210,Over,Good
Attending training session,Learning,Code collaboratively,Low,106,72,0.6,2023-03-29 11:00:00,130,Under,Fair
Code review,Learning,Learn new programming language,Low,138,74,0.98,2023-03-30 14:00:00,190,Under,Good
Sprint planning,Learning,Code collaboratively,Medium,220,254,0.82,2023-03-30 15:00:00,110,Over,Good
Pair programming,Learning,Fix errors in code,Medium,56,71,0.64,2023-03-31 16:00:00,210,Over,Fair
Sprint planning,Learning,Learn new skills,High,227,246,0.61,2023-03-29 11:00:00,80,Over,Fair
Learning new technology,Learning,Fix errors in code,Low,190,123,0.64,2023-04-05 18:00:00,190,Under,Fair
Attending conference,Learning,Code collaboratively,Medium,201,280,0.73,2023-03-28 10:00:00,190,Over,Fair
Learning new technology,Learning,Review code changes,High,40,39,1.0,2023-04-02 10:00:00,210,Under,Good
Complete coding challenge,Learning,Learn new skills,High,210,171,0.88,2023-04-04 11:00:00,250,Under,Good
Debugging,Work,Refactor existing code,Medium,196,163,1.0,2023-04-05 18:00:00,350,Under,Good
Debugging,Learning,Review code changes,High,72,101,0.63,2023-04-01 12:00:00,55,Over,Fair
Attending conference,Learning,Plan upcoming sprint,High,30,34,0.84,2023-03-30 15:00:00,220,Over,Good
Debugging,Work,Plan upcoming sprint,High,222,309,0.89,2023-03-30 14:00:00,220,Over,Good
Attending training session,Work,Write technical document,Low,62,47,0.91,2023-03-28 10:00:00,220,Under,Good
Writing technical documentation,Work,Plan upcoming sprint,High,203,158,0.78,2023-03-28 14:00:00,170,Under,Good
Attending conference,Work,Fix errors in code,High,198,229,0.93,2023-03-30 14:00:00,210,Over,Good
Code refactoring,Work,Plan upcoming sprint,Medium,165,127,0.76,2023-04-05 18:00:00,130,Under,Good
Sprint planning,Work,Submit a functioning solution,Low,115,94,0.74,2023-04-04 11:00:00,250,Under,Fair
Code review,Learning,Submit a functioning solution,Low,184,241,0.62,2023-03-29 17:00:00,220,Over,Fair
Writing technical documentation,Work,Plan upcoming sprint,Medium,207,227,0.78,2023-04-04 11:00:00,190,Over,Good
Writing technical documentation,Work,Learn new programming language,Low,236,139,0.83,2023-04-02 10:00:00,220,Under,Good
Pair programming,Learning,Write technical document,High,53,68,0.98,2023-03-29 17:00:00,320,Over,Good
Sprint planning,Learning,Network with peers,Medium,135,149,0.82,2023-04-02 10:00:00,110,Over,Good
Attending training session,Work,Code collaboratively,Medium,188,195,0.86,2023-03-29 11:00:00,420,Over,Good
Complete coding challenge,Learning,Code collaboratively,High,41,47,0.88,2023-03-31 16:00:00,420,Over,Good
Code review,Work,Fix errors in code,Low,151,121,0.75,2023-04-02 10:00:00,100,Under,Good
Attending conference,Learning,Write technical document,Medium,119,123,0.84,2023-03-30 14:00:00,55,Over,Good
Debugging,Learning,Submit a functioning solution,Low,125,171,0.95,2023-03-31 16:00:00,110,Over,Good
Writing technical documentation,Learning,Review code changes,Medium,122,170,1.0,2023-04-04 11:00:00,350,Over,Good
Attending conference,Learning,Plan upcoming sprint,High,216,151,0.63,2023-04-01 12:00:00,220,Under,Fair
Learning new technology,Work,Review code changes,Medium,163,196,0.96,2023-03-30 15:00:00,190,Over,Good
Attending conference,Learning,Review code changes,High,156,102,0.87,2023-03-31 16:00:00,55,Under,Good
Learning new technology,Work,Learn new programming language,Medium,193,149,0.78,2023-04-05 18:00:00,210,Under,Good
Pair programming,Work,Network with peers,Medium,235,339,0.7,2023-04-04 11:00:00,190,Over,Fair
Attending training session,Learning,Network with peers,High,109,140,0.64,2023-04-04 11:00:00,130,Over,Fair
Attending conference,Work,Plan upcoming sprint,High,153,78,0.98,2023-03-28 10:00:00,210,Under,Good
Sprint planning,Work,Fix errors in code,High,176,253,0.79,2023-03-28 10:00:00,100,Over,Good
Pair programming,Work,Submit a functioning solution,Medium,225,167,0.66,2023-03-28 14:00:00,250,Under,Fair
Attending training session,Work,Write technical document,High,230,255,0.77,2023-03-31 16:00:00,110,Over,Good
Attending training session,Learning,Refactor existing code,Low,142,115,0.78,2023-03-28 10:00:00,170,Under,Good
Sprint planning,Learning,Fix errors in code,Medium,122,151,0.63,2023-03-29 17:00:00,80,Over,Fair
Debugging,Learning,Review code changes,High,121,162,0.96,2023-03-29 11:00:00,420,Over,Good
Attending training session,Learning,Review code changes,Medium,53,42,0.87,2023-03-30 15:00:00,220,Under,Good
Attend team meeting,Learning,Learn new programming language,High,171,170,1.0,2023-03-31 16:00:00,110,Under,Good
Attend team meeting,Learning,Write technical document,High,219,282,0.71,2023-03-29 17:00:00,130,Over,Fair
Code refactoring,Learning,Review code changes,Medium,85,47,0.79,2023-04-01 12:00:00,210,Under,Good
Attending conference,Learning,Code collaboratively,High,57,43,0.9,2023-03-28 14:00:00,220,Under,Good
Code refactoring,Learning,Discuss project progress,High,181,240,0.63,2023-04-04 11:00:00,420,Over,Fair
Complete coding challenge,Work,Code collaboratively,Medium,214,204,0.93,2023-03-28 14:00:00,220,Under,Good
Attending training session,Learning,Review code changes,High,76,48,0.81,2023-04-01 12:00:00,350,Under,Good
Learning new technology,Work,Learn new skills,Low,36,45,0.81,2023-04-04 11:00:00,170,Over,Good
Learning new technology,Learning,Code collaboratively,High,162,117,0.94,2023-04-01 12:00:00,190,Under,Good
Attend team meeting,Work,Learn new skills,High,195,193,0.9,2023-04-02 10:00:00,110,Under,Good
Attending conference,Work,Submit a functioning solution,Medium,222,116,0.62,2023-03-29 17:00:00,320,Under,Fair
Learning new technology,Learning,Submit a functioning solution,Medium,210,298,0.79,2023-04-02 10:00:00,80,Over,Good
Attending conference,Work,Learn new skills,High,31,20,0.74,2023-04-05 18:00:00,170,Under,Fair
Attend team meeting,Work,Review code changes,Medium,115,119,0.62,2023-04-02 10:00:00,100,Over,Fair
Code review,Learning,Code collaboratively,Medium,213,294,0.89,2023-04-02 10:00:00,130,Over,Good
Learning new technology,Learning,Learn new skills,Medium,56,49,0.91,2023-04-04 11:00:00,80,Under,Good
Complete coding challenge,Learning,Learn new programming language,High,106,120,0.71,2023-03-30 15:00:00,350,Over,Fair
Sprint planning,Learning,Review code changes,Medium,47,32,0.8,2023-03-31 16:00:00,320,Under,Good
Attend team meeting,Learning,Fix errors in code,Low,240,350,0.83,2023-04-04 11:00:00,100,Over,Good
Code review,Learning,Review code changes,High,96,68,0.61,2023-04-01 12:00:00,110,Under,Fair
Pair programming,Learning,Learn new skills,Low,205,252,0.73,2023-03-31 16:00:00,55,Over,Fair
Complete coding challenge,Work,Write technical document,Medium,97,126,0.75,2023-03-31 16:00:00,110,Over,Good
Attending conference,Learning,Discuss project progress,Low,40,40,0.81,2023-03-28 10:00:00,270,Accurate,Good
Learning new technology,Learning,Discuss project progress,High,32,28,0.91,2023-04-02 10:00:00,350,Under,Good
Complete coding challenge,Learning,Network with peers,High,144,177,0.77,2023-03-30 14:00:00,210,Over,Good
Learning new technology,Work,Refactor existing code,High,124,169,0.65,2023-04-01 12:00:00,420,Over,Fair
Writing technical documentation,Work,Code collaboratively,Medium,233,323,0.95,2023-03-29 11:00:00,130,Over,Good
Code review,Work,Code collaboratively,High,150,92,0.64,2023-04-01 12:00:00,210,Under,Fair
Attending training session,Work,Refactor existing code,High,174,204,0.7,2023-04-05 18:00:00,130,Over,Fair
Attend team meeting,Work,Discuss project progress,Medium,67,95,0.69,2023-03-31 16:00:00,220,Over,Fair
Code refactoring,Work,Write technical document,High,185,218,0.69,2023-03-31 16:00:00,220,Over,Fair
Attending training session,Work,Learn new programming language,Low,199,270,0.85,2023-04-02 10:00:00,270,Over,Good
Complete coding challenge,Learning,Fix errors in code,High,236,308,0.9,2023-04-04 11:00:00,320,Over,Good
Writing technical documentation,Learning,Learn new programming language,Medium,167,202,0.63,2023-03-28 10:00:00,220,Over,Fair
Writing technical documentation,Learning,Code collaboratively,Medium,107,61,0.88,2023-04-04 11:00:00,250,Under,Good
Debugging,Work,Write technical document,Medium,91,73,0.92,2023-03-29 11:00:00,210,Under,Good
Complete coding challenge,Work,Plan upcoming sprint,High,51,46,0.61,2023-03-31 16:00:00,320,Under,Fair
Learning new technology,Learning,Learn new programming language,Medium,99,115,0.98,2023-03-30 14:00:00,420,Over,Good
Code refactoring,Learning,Submit a functioning solution,High,92,111,0.61,2023-04-02 10:00:00,420,Over,Fair
Complete coding challenge,Learning,Code collaboratively,High,58,53,0.82,2023-03-31 16:00:00,320,Under,Good
Debugging,Work,Plan upcoming sprint,Low,149,204,0.76,2023-03-31 16:00:00,250,Over,Good
Attending training session,Work,Plan upcoming sprint,Medium,158,99,0.71,2023-03-28 10:00:00,190,Under,Fair
Learning new technology,Work,Network with peers,High,226,184,0.73,2023-03-29 17:00:00,110,Under,Fair
Complete coding challenge,Work,Code collaboratively,High,75,103,0.62,2023-04-05 18:00:00,350,Over,Fair
Code refactoring,Learning,Learn new skills,Low,189,282,0.84,2023-04-02 10:00:00,100,Over,Good
Attending conference,Work,Refactor existing code,Medium,60,46,0.9,2023-03-29 11:00:00,350,Under,Good
Attending conference,Learning,Discuss project progress,Low,132,109,0.65,2023-04-01 12:00:00,270,Under,Fair
Attending training session,Learning,Submit a functioning solution,High,97,84,0.98,2023-04-04 11:00:00,190,Under,Good
Code review,Work,Code collaboratively,Low,118,176,0.96,2023-04-04 11:00:00,220,Over,Good
Attending training session,Work,Network with peers,High,33,42,0.67,2023-04-05 18:00:00,130,Over,Fair
Debugging,Work,Plan upcoming sprint,High,49,61,0.9,2023-03-29 11:00:00,210,Over,Good
Pair programming,Learning,Plan upcoming sprint,Medium,49,58,0.82,2023-04-04 11:00:00,210,Over,Good
Complete coding challenge,Learning,Plan upcoming sprint,Medium,49,27,0.82,2023-04-04 11:00:00,220,Under,Good
Sprint planning,Work,Submit a functioning solution,Low,69,40,0.66,2023-04-04 11:00:00,100,Under,Fair
Code refactoring,Work,Code collaboratively,High,94,133,0.63,2023-03-31 16:00:00,320,Over,Fair
Attending training session,Work,Submit a functioning solution,High,181,266,0.92,2023-03-31 16:00:00,420,Over,Good
Attend team meeting,Work,Discuss project progress,Medium,159,110,0.77,2023-04-04 11:00:00,420,Under,Good
Attend team meeting,Work,Review code changes,High,144,124,0.88,2023-04-05 18:00:00,320,Under,Good
Learning new technology,Work,Learn new skills,Medium,96,138,0.8,2023-03-29 11:00:00,190,Over,Good
Code review,Learning,Submit a functioning solution,High,175,250,0.83,2023-03-28 10:00:00,270,Over,Good
Attending training session,Learning,Learn new programming language,Medium,198,125,0.89,2023-03-28 10:00:00,320,Under,Good
Code refactoring,Work,Review code changes,Medium,72,79,0.66,2023-03-31 16:00:00,220,Over,Fair
Code review,Learning,Review code changes,Medium,147,101,0.73,2023-03-28 14:00:00,270,Under,Fair
Debugging,Work,Submit a functioning solution,Medium,41,44,0.75,2023-03-29 11:00:00,130,Over,Good
Sprint planning,Learning,Discuss project progress,Medium,231,329,0.79,2023-03-30 14:00:00,190,Over,Good
Pair programming,Work,Review code changes,High,232,155,0.67,2023-04-04 11:00:00,270,Under,Fair
Debugging,Work,Refactor existing code,High,49,46,0.74,2023-03-29 11:00:00,270,Under,Fair
Code review,Learning,Code collaboratively,Low,77,105,0.75,2023-03-30 15:00:00,250,Over,Good
Pair programming,Work,Code collaboratively,Medium,31,18,0.92,2023-03-30 14:00:00,250,Under,Good
Complete coding challenge,Work,Plan upcoming sprint,Low,58,56,0.9,2023-04-01 12:00:00,270,Under,Good
Attend team meeting,Learning,Discuss project progress,Medium,202,241,0.95,2023-03-28 14:00:00,100,Over,Good
Attend team meeting,Work,Network with peers,Low,69,56,0.87,2023-03-28 14:00:00,250,Under,Good
Code review,Work,Learn new skills,Medium,227,170,0.88,2023-03-28 14:00:00,350,Under,Good
Attending training session,Learning,Write technical document,High,91,74,0.91,2023-03-28 10:00:00,190,Under,Good
Complete coding challenge,Work,Refactor existing code,Medium,44,36,0.91,2023-03-31 16:00:00,170,Under,Good
Code review,Work,Submit a functioning solution,Low,153,146,0.77,2023-04-02 10:00:00,55,Under,Good
Complete coding challenge,Learning,Plan upcoming sprint,Low,44,41,0.84,2023-03-29 11:00:00,110,Under,Good
Attending conference,Learning,Refactor existing code,Low,80,79,0.65,2023-03-30 14:00:00,80,Under,Fair
Debugging,Work,Review code changes,Medium,178,158,0.96,2023-03-28 10:00:00,220,Under,Good
Code refactoring,Work,Network with peers,Medium,85,73,0.97,2023-03-29 11:00:00,250,Under,Good
Attending training session,Learning,Code collaboratively,Medium,44,44,0.75,2023-04-04 11:00:00,80,Accurate,Good
Attending training session,Learning,Submit a functioning solution,Low,113,98,0.83,2023-03-30 14:00:00,170,Under,Good
Writing technical documentation,Work,Review code changes,Low,99,94,0.74,2023-03-30 14:00:00,110,Under,Fair
Attend team meeting,Work,Fix errors in code,Low,94,136,0.84,2023-04-01 12:00:00,130,Over,Good
Complete coding challenge,Learning,Fix errors in code,Medium,37,30,0.9,2023-04-02 10:00:00,350,Under,Good
Complete coding challenge,Learning,Write technical document,High,204,123,0.77,2023-04-04 11:00:00,80,Under,Good
Attend team meeting,Learning,Review code changes,High,161,213,0.99,2023-04-04 11:00:00,210,Over,Good
Writing technical documentation,Learning,Fix errors in code,Low,193,202,0.73,2023-04-01 12:00:00,100,Over,Fair
Writing technical documentation,Work,Code collaboratively,Low,180,140,0.91,2023-03-29 11:00:00,170,Under,Good
Code review,Learning,Write technical document,Low,34,48,0.6,2023-03-30 15:00:00,190,Over,Fair
Sprint planning,Learning,Discuss project progress,High,203,129,0.9,2023-04-05 18:00:00,100,Under,Good
Code refactoring,Learning,Discuss project progress,High,224,292,0.71,2023-03-29 17:00:00,220,Over,Fair
Writing technical documentation,Work,Refactor existing code,Medium,44,41,0.75,2023-04-04 11:00:00,100,Under,Good
Writing technical documentation,Work,Learn new programming language,Medium,186,163,0.73,2023-03-29 11:00:00,270,Under,Fair
Attending conference,Learning,Learn new skills,Medium,42,36,0.99,2023-03-28 14:00:00,250,Under,Good
Attending training session,Learning,Review code changes,Medium,63,93,0.64,2023-03-31 16:00:00,190,Over,Fair
Pair programming,Work,Discuss project progress,High,50,32,0.91,2023-03-30 15:00:00,220,Under,Good
Pair programming,Learning,Discuss project progress,Low,122,115,0.85,2023-03-29 11:00:00,320,Under,Good
Writing technical documentation,Learning,Submit a functioning solution,Medium,235,333,0.95,2023-04-02 10:00:00,80,Over,Good
Learning new technology,Learning,Learn new programming language,Medium,64,73,0.99,2023-03-31 16:00:00,270,Over,Good
Writing technical documentation,Learning,Code collaboratively,High,34,33,0.93,2023-03-28 10:00:00,170,Under,Good
